node1,node2,label,weight
tt0114709,tt0112453,genre,0.42857142857142855
tt0112453,tt0114709,genre,0.42857142857142855
tt0114709,tt0114148,genre,0.375
tt0114148,tt0114709,genre,0.375
tt0114709,tt0113497,genre,0.8
tt0113497,tt0114709,genre,0.8
tt0114709,tt0112302,genre,0.375
tt0112302,tt0114709,genre,0.375
tt0114709,tt0113189,genre,0.14285714285714285
tt0113189,tt0114709,genre,0.14285714285714285
tt0114709,tt0112760,genre,0.3333333333333333
tt0112760,tt0114709,genre,0.3333333333333333
tt0114709,tt0112281,genre,0.3333333333333333
tt0112281,tt0114709,genre,0.3333333333333333
tt0114709,tt0113855,genre,0.25
tt0113855,tt0114709,genre,0.25
tt0114709,tt0118158,genre,0.16666666666666666
tt0118158,tt0114709,genre,0.16666666666666666
tt0114709,tt0116151,genre,0.6
tt0116151,tt0114709,genre,0.6
tt0114709,tt0115759,genre,0.14285714285714285
tt0115759,tt0114709,genre,0.14285714285714285
tt0114709,tt0117110,genre,0.375
tt0117110,tt0114709,genre,0.375
tt0114709,tt0113228,genre,0.16666666666666666
tt0113228,tt0114709,genre,0.16666666666666666
tt0114709,tt0114885,genre,0.14285714285714285
tt0114885,tt0114709,genre,0.14285714285714285
tt0114709,tt0113041,genre,0.3333333333333333
tt0113041,tt0114709,genre,0.3333333333333333
tt0114709,tt0114319,genre,0.14285714285714285
tt0114319,tt0114709,genre,0.14285714285714285
tt0114709,tt0112346,genre,0.14285714285714285
tt0112346,tt0114709,genre,0.14285714285714285
tt0114709,tt0112896,genre,0.3333333333333333
tt0112896,tt0114709,genre,0.3333333333333333
tt0114709,tt0113101,genre,0.2
tt0113101,tt0114709,genre,0.2
tt0114709,tt0113845,genre,0.1111111111111111
tt0113845,tt0114709,genre,0.1111111111111111
tt0114709,tt0113161,genre,0.14285714285714285
tt0113161,tt0114709,genre,0.14285714285714285
tt0114709,tt0114011,genre,0.14285714285714285
tt0114011,tt0114709,genre,0.14285714285714285
tt0114709,tt0112431,genre,0.3333333333333333
tt0112431,tt0114709,genre,0.3333333333333333
tt0114709,tt0113442,genre,0.3333333333333333
tt0113442,tt0114709,genre,0.3333333333333333
tt0114709,tt0112697,genre,0.16666666666666666
tt0112697,tt0114709,genre,0.16666666666666666
tt0114709,tt0114681,genre,0.125
tt0114681,tt0114709,genre,0.125
tt0114709,tt0113347,genre,0.14285714285714285
tt0113347,tt0114709,genre,0.14285714285714285
tt0114709,tt0113819,genre,0.3333333333333333
tt0113819,tt0114709,genre,0.3333333333333333
tt0114709,tt0112499,genre,0.3333333333333333
tt0112499,tt0114709,genre,0.3333333333333333
tt0114709,tt0113321,genre,0.14285714285714285
tt0113321,tt0114709,genre,0.14285714285714285
tt0114709,tt0110877,genre,0.125
tt0110877,tt0114709,genre,0.125
tt0114709,tt0116126,genre,0.16666666666666666
tt0116126,tt0114709,genre,0.16666666666666666
tt0114709,tt0118002,genre,0.14285714285714285
tt0118002,tt0114709,genre,0.14285714285714285
tt0114709,tt0115683,genre,0.2
tt0115683,tt0114709,genre,0.2
tt0114709,tt0113149,genre,0.2
tt0113149,tt0114709,genre,0.2
tt0114709,tt0113118,genre,0.16666666666666666
tt0113118,tt0114709,genre,0.16666666666666666
tt0114709,tt0113537,genre,0.14285714285714285
tt0113537,tt0114709,genre,0.14285714285714285
tt0114709,tt0115676,genre,0.16666666666666666
tt0115676,tt0114709,genre,0.16666666666666666
tt0114709,tt0112379,genre,0.16666666666666666
tt0112379,tt0114709,genre,0.16666666666666666
tt0114709,tt0115697,genre,0.2
tt0115697,tt0114709,genre,0.2
tt0114709,tt0114825,genre,0.2857142857142857
tt0114825,tt0114709,genre,0.2857142857142857
tt0114709,tt0115639,genre,0.14285714285714285
tt0115639,tt0114709,genre,0.14285714285714285
tt0114709,tt0113403,genre,0.2
tt0113403,tt0114709,genre,0.2
tt0114709,tt0115734,genre,0.14285714285714285
tt0115734,tt0114709,genre,0.14285714285714285
