,key,value
0,tom_hanks,0
1,tim_allen,1
2,don_rickles,2
3,jim_varney,3
4,john_lasseter,4
5,robin_williams,5
6,jonathan_hyde,6
7,kirsten_dunst,7
8,bradley_pierce,8
9,joe_johnston,9
10,walter_matthau,10
11,jack_lemmon,11
12,sophia_loren,12
13,ann-margret,13
14,howard_deutch,14
15,whitney_houston,15
16,angela_bassett,16
17,loretta_devine,17
18,lela_rochon,18
19,forest_whitaker,19
20,steve_martin,20
21,diane_keaton,21
22,martin_short,22
23,kimberly_williams-paisley,23
24,charles_shyer,24
25,al_pacino,25
26,robert_de_niro,26
27,val_kilmer,27
28,jon_voight,28
29,michael_mann,29
30,harrison_ford,30
31,julia_ormond,31
32,greg_kinnear,32
33,nancy_marchand,33
34,sydney_pollack,34
35,jonathan_taylor_thomas,35
36,brad_renfro,36
37,eric_schweig,37
38,charles_rocket,38
39,peter_hewitt,39
40,jean-claude_van_damme,40
41,powers_boothe,41
42,raymond_j._barry,42
43,whittni_wright,43
44,peter_hyams,44
45,pierce_brosnan,45
46,sean_bean,46
47,izabella_scorupco,47
48,famke_janssen,48
49,martin_campbell,49
50,michael_douglas,50
51,annette_bening,51
52,martin_sheen,52
53,michael_j._fox,53
54,rob_reiner,54
55,leslie_nielsen,55
56,peter_macnicol,56
57,steven_weber,57
58,amy_yasbeck,58
59,mel_brooks,59
60,kevin_bacon,60
61,bob_hoskins,61
62,bridget_fonda,62
63,jim_cummings,63
64,simon_wells,64
65,anthony_hopkins,65
66,joan_allen,66
67,ed_harris,67
68,oliver_stone,68
69,geena_davis,69
70,matthew_modine,70
71,frank_langella,71
72,maury_chaykin,72
73,renny_harlin,73
74,sharon_stone,74
75,joe_pesci,75
76,james_woods,76
77,martin_scorsese,77
78,james_fleet,78
79,tom_wilkinson,79
80,harriet_walter,80
81,kate_winslet,81
82,ang_lee,82
83,sammi_davis,83
84,amanda_de_cadenet,84
85,valeria_golino,85
86,madonna,86
87,allison_anders,87
88,alexandre_rockwell,88
89,robert_rodriguez,89
90,quentin_tarantino,90
91,chuck_jones,91
92,jim_carrey,92
93,ian_mcneice,93
94,simon_callow,94
95,maynard_eziashi,95
96,steve_oedekerk,96
97,wesley_snipes,97
98,woody_harrelson,98
