,id,title,year,rated,duration,genre,cast,director,language,imdb_rating,votes
0,tt0114709,Toy Story,1995,G,81 min,"Animation, Adventure, Comedy, Family, Fantasy","Tom Hanks, Tim Allen, Don Rickles, Jim Varney",John Lasseter,English,8.3,"894,596"
1,tt0113497,Jumanji,1995,PG,104 min,"Adventure, Comedy, Family, Fantasy","Robin Williams, Jonathan Hyde, Kirsten Dunst, Bradley Pierce",Joe Johnston,"English, French",7.0,"309,869"
2,tt0113228,Grumpier Old Men,1995,PG-13,101 min,"Comedy, Romance","Walter Matthau, Jack Lemmon, Sophia Loren, Ann-Margret",Howard Deutch,"English, Italian, German",6.7,"24,392"
3,tt0114885,Waiting to Exhale,1995,R,124 min,"Comedy, Drama, Romance","Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon",Forest Whitaker,English,6.0,"9,602"
4,tt0113041,Father of the Bride Part II,1995,PG,106 min,"Comedy, Family, Romance","Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley",Charles Shyer,English,6.1,"34,659"
5,tt0113277,Heat,1995,R,170 min,"Crime, Drama, Thriller","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",Michael Mann,"English, Spanish",8.2,"579,456"
6,tt0114319,Sabrina,1995,PG,127 min,"Comedy, Drama, Romance","Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand",Sydney Pollack,"English, French",6.3,"36,994"
7,tt0112302,Tom and Huck,1995,PG,97 min,"Adventure, Comedy, Drama, Family, Romance, Western","Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket",Peter Hewitt,English,5.5,"9,942"
8,tt0114576,Sudden Death,1995,R,111 min,"Action, Crime, Thriller","Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright",Peter Hyams,English,5.8,"32,376"
9,tt0113189,GoldenEye,1995,PG-13,130 min,"Action, Adventure, Thriller","Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen",Martin Campbell,"English, Russian, Spanish",7.2,"239,603"
10,tt0112346,The American President,1995,PG-13,114 min,"Comedy, Drama, Romance","Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox",Rob Reiner,"English, French, Spanish",6.8,"52,931"
11,tt0112896,Dracula: Dead and Loving It,1995,PG-13,88 min,"Comedy, Fantasy, Horror","Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck",Mel Brooks,"English, German",5.9,"39,094"
12,tt0112453,Balto,1995,G,78 min,"Animation, Adventure, Drama, Family, History","Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings",Simon Wells,English,7.1,"40,012"
13,tt0113987,Nixon,1995,R,192 min,"Biography, Drama, History","Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris",Oliver Stone,"English, Mandarin, Russian",7.1,"28,852"
14,tt0112760,Cutthroat Island,1995,PG-13,124 min,"Action, Adventure, Comedy","Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin",Renny Harlin,English,5.7,"26,292"
15,tt0112641,Casino,1995,R,178 min,"Crime, Drama","Robert De Niro, Sharon Stone, Joe Pesci, James Woods",Martin Scorsese,English,8.2,"470,638"
16,tt0114388,Sense and Sensibility,1995,PG,136 min,"Drama, Romance","James Fleet, Tom Wilkinson, Harriet Walter, Kate Winslet",Ang Lee,"English, French",7.6,"103,100"
17,tt0113101,Four Rooms,1995,R,98 min,Comedy,"Sammi Davis, Amanda De Cadenet, Valeria Golino, Madonna","Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Chuck Jones",English,6.8,"98,768"
18,tt0112281,Ace Ventura: When Nature Calls,1995,PG-13,90 min,"Adventure, Comedy, Crime","Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi",Steve Oedekerk,English,6.4,"202,960"
